DateTime,Bus,Power,Temperature,Voltage,Current
2023-01-01 02:46:00,Bus 5,201.26636400000007,25.01042676707792,229.226,0.467
2023-01-01 02:46:00,Bus 3,848.2251270000002,25.078562536449702,230.228,2.141
2023-01-01 02:47:00,Bus 2,-398.3336,24.91121170894944,233.164,-1.232
2023-01-01 02:47:00,Bus 0,-1756.0318589999997,24.94538450840692,233.488,-3.678
2023-01-01 02:47:00,Bus 3,1522.292336,25.158463682284268,230.237,3.835
2023-01-01 02:47:00,Bus 4,0.0,25.0,227.579,0.0
2023-01-01 02:47:00,Bus 5,463.7678729999999,25.022052865503458,229.222,1.076
2023-01-01 02:47:00,Bus 1,168.30525,25.021332010863613,227.069,0.483
2023-01-01 02:48:00,Bus 4,0.0,25.0,227.575,0.0
2023-01-01 02:48:00,Bus 5,-6.4548520000000735,24.99980027480439,229.218,-0.015
2023-01-01 02:48:00,Bus 1,240.8828,25.01268853455957,227.075,0.693
2023-01-01 02:48:00,Bus 0,-301.33224299999983,24.94522900808845,233.502,-0.631
2023-01-01 02:48:00,Bus 3,497.43229500000007,25.144233115918887,230.247,1.251
2023-01-01 02:48:00,Bus 2,-430.528,24.98782988451641,233.18,-1.331
2023-01-01 02:49:00,Bus 3,675.6956759999998,25.02332359046421,230.256,1.696
2023-01-01 02:49:00,Bus 4,0.0,25.0,227.571,0.0
2023-01-01 02:49:00,Bus 5,314.0345450000002,25.016645549875903,229.214,0.726
2023-01-01 02:49:00,Bus 0,-637.6659709999999,24.97462732190644,233.516,-1.335
2023-01-01 02:49:00,Bus 1,166.63365000000002,25.023747906248506,227.082,0.48
2023-01-01 02:49:00,Bus 2,-518.6979,24.983625756493108,233.195,-1.604
2023-01-01 02:50:00,Bus 3,1457.2445429999998,25.15656336243489,230.266,3.652
2023-01-01 02:50:00,Bus 1,238.0875,25.016820545133733,227.088,0.687
2023-01-01 02:50:00,Bus 4,0.0,25.0,227.567,0.0
2023-01-01 02:50:00,Bus 5,113.18306899999992,25.002417402642592,229.21,0.262
2023-01-01 02:50:00,Bus 2,-300.464,24.981832893653525,233.21,-0.929
2023-01-01 02:50:00,Bus 0,-1508.0511119999996,24.9710705940308,233.529,-3.164
2023-01-01 02:51:00,Bus 4,0.0,25.0,227.563,0.0
